title,percentage of dislike
"水逆要來了！唐綺陽示警有5大變化：不堪將曝光
",83.0
"倒數一週！蔡英文站台籲終結政治惡鬥 1/9
",78.0
"蔡總統：要改變在地文化終結惡鬥 就支持林靜儀
",79.0
"蔡英文站台力挺林靜儀「立委要讓國家經濟更好
",71.0
"柯P總統府前變「1人閱兵」 正妹發言人怒爆真相
",84.0
"柯文哲總統府前獨自一人罰站40分？王浩宇
",68.0
"瑞莎VS李靚蕾 誰是2021年最惡毒的心機婊?
",91.0
"「國師」唐綺陽再發威　神準預測《美國女孩》導演星象
",83.0
"交長王國材：台鐵最讓人操心
",74.0
"蔡英文拋「四管齊下」顧民生 聚焦解決房
",83.0
"挺瑞莎的宅男 其實只是想娶烏克蘭新娘吧?
",88.0
"全力蓋社宅 蔡英文還要加速推廣包租代管
",84.0
"柯文哲出席府前元旦升旗吹40分鐘冷風
",87.0
"台灣人寧可信烏克蘭新娘?也不信台灣協會?
",86.0
"柯文哲參加升旗變「柯總統閱兵」？　總統
",84.0
"蔡英文：台灣去年物價、房價漲幅 比其他
",86.0
"蔡英文元旦談話全文看這裡！　2022年穩
",75.0
"PTT評選跨年最強藝人！　羅志祥收服鄉民
",72.0
"滅火器!!!!!!來了
",80.0
"有種噓我?
",76.0
"新年快樂 每噓10000p
",86.0
"大新竹若升格民眾黨「一定會派人」 綠營1
",81.0
"只有我對瑞莎持保留態度嗎？
",74.0
"搶救林靜儀、林昶佐 蔡英文： 最後選舉差
",80.0
"只有我對瑞莎持保留態度嗎？
",78.0
"徐國勇：即起擴大取締酒駕!!!!
",70.0
"《守住桃園‧守護臺灣》記錄抗疫歷程 桃
",85.0
"陳柏惟自曝任內「3大空轉」　向選民道歉
",68.0
"瑞莎19歲就結過婚? 台灣老公撿了二手鮑? 
",90.0
"就任3年 蘇揆：首長變主動、知認錯
",78.0
"好市多員工籲「別用手推車」！真相曝光會
",80.0
"轉手價差500萬！驗完屋秒出售 雞排妹大安區豪宅上網銷售中
",68.0
"國營事業補助高雄經費多 侯友宜酸回：人
",88.0
"酒駕重懲與民意有落差？綠委：怎修法都
",76.0
"獨／起底弒父碩士女！靜宜學霸赴美苦讀7
",76.0
"長榮海運豪發40個月年終　她狂讚：不辱
",83.0
"肯定部會首長積極 蘇貞昌：認錯是勇氣 不
",93.0
"「不要把罪過都推給執政黨」 劉世芳獻策
",80.0
"快訊／酒駕是全民公敵　徐國勇下令：即刻
",73.0
"神複製！二伯曬童年照「以為看到蔡桃貴」
",92.0
"印度神童恐怖預言又中！這兩國嚇到 下波災難時間點曝光
",73.0
"像瑞莎為了30萬賠掉名聲 值得嗎?
",93.0
"港警拘捕《立場新聞》高層　蔡英文：台灣會堅定撐香港
",88.0
"「沒台灣，世界會停止運轉！」她列超狂5
",75.0
"為何高雄輕軌不蓋高架 蓋平面與人車搶道？
",70.0
"陳其邁下猛藥 高市修法增檢舉酒駕獎金
",80.0
"蔡英文突換大頭貼！　「1個月換2次」網
",72.0
"蔡英文下令「守護靜昶」全黨動起來催票
",84.0
"林昶佐自豪獲國民黨籍里長支持「站出來
",74.0
"快訊／蔡英文：惡意罷免、地方派系過度
",80.0
"蔡英文同台林靜儀、林昶佐　訴求藍綠終
",84.0
"伍佰憑什們叫老師？
",71.0
"「酒駕者無罪惡感」 徐國勇：不加重刑責
",85.0
"酒駕頻傳 徐國勇：人民自律才能根本解決
",83.0
"訓練後帶去商演 瑞莎是招童工還是招學生?
",85.0
"交部修法嚴懲酒駕！初犯肇事致死沒收車
",78.0
"瑞莎 那麼厲害 怎麼不回烏克蘭? 她老公?
",92.0
"瑞莎好好分配商演30萬是不是就沒事了?
",82.0
"二伯PO童年照「還以為看到蔡桃貴」！五官
",89.0
"館長「民進黨挺不下去」 嘆：經濟成長人
",78.0
"改林秉樞家暴維基 公總雇員申誡1支
",74.0
"瑞莎可以免費教學生 為何不能免費商演?
",91.0
"瑞莎拿25萬..快比22K一年的薪水多了…
",88.0
"瑞莎 商演30萬 給小朋友5萬 算多還少？
",88.0
"要瑞莎把帳目弄清楚 很難嗎？
",68.0
"我不是家族政治！林昶佐諷顏：不用上班
",79.0
"瑞莎是台灣慣老闆嗎？學壞了？
",79.0
"瑞莎遭控斂財痛哭反擊 陳沂逆風開嗆
",68.0
"瑞莎分選手5萬「給太多」！潔哥力挺：你
",93.0
"Wecare高雄最新貼文
",84.0
"快訊／「麟洋配」可商業代言　立法院三
",71.0
"=.= 台積電可以滾出台灣嗎？！
",69.0
"為什麼公務員要有薪水？
",73.0
"｢挺不下去｣ 館長不滿民進黨對酒駕不修
",69.0
"「反對竹竹併心中有鬼」 柯建銘嗆朱立倫
",69.0
"Wecare現在又跑去哪裡了？
",75.0
