title,percentage of dislike
"公投倒數72小時 蔡英文：好想贏韓國就投
",85.0
"蔡總統：若政策反覆 外商還能否放心投資
",82.0
"柯文哲拍板動物之家規劃 議員爆：竟縮減
",86.0
"林昶佐投震撼彈　「從沒排斥加入民進黨
",80.0
"王美花：若韓國加入CPTPP 對台灣是重傷害
",71.0
"籲核四不同意票衝最高 何博文：將核廢料送
",75.0
"林秉樞打特權疫苗　綠委要求陳時中查「
",68.0
"台積電高層憂心供電穩定？ 經長：不予置
",82.0
"外媒「三接公投台灣半導體岌岌可危」　台
",80.0
"接見進出口商 蔡英文:不要因公投拖垮往外走
",78.0
"八卦版的版規有說不能暴雷？警告三小操
",77.0
"反萊豬過了美國會生氣？
",71.0
"蘇貞昌讚便利商店新時代服務典範 勉勵公
",86.0
"你是否同意政府應全面禁止進口含有瘦肉精
",68.0
"Omicron病毒來襲　蔡英文：台灣有能力扮
",74.0
"電蝦版友是變種王子病？
",80.0
"斷開福原愛！江宏傑將下海「床戰男生」
",89.0
"蔡總統：韓國2012年開放萊牛萊豬 入CPTPP
",83.0
"特斯拉全球供應商董座表態 「絕對不同意
",67.0
"現在發錢能被噓到xx嗎？（發錢）
",94.0
"萊豬問題不是靠標示清楚就能解決了嗎
",85.0
"Omicron病毒來襲　蔡英文：台灣有能力扮
",86.0
"4大公投倒數 沈榮津：「反萊豬」過關會讓
",87.0
"特斯拉供應商老董表態：「絕不同意」反
",71.0
"總統IG回應親民：不會喝6碗豬肝湯
",86.0
"鄭弘儀憂染喉癌！超音波照出驚人病灶 
",79.0
"蔡英文：美豬公投沒過　台灣經濟回到被
",82.0
"臺灣天然氣發電占比50% 會發生什麼事
",73.0
"總統IG披露親當剷屎官 小被被給貓咪用
",86.0
"獨／食安釋疑 企業家：美豬、牛安全
",82.0
"向挺藻礁青年喊話 蔡英文：四個公投、不
",69.0
"韓下週申請加入CPTPP 蔡英文喊話：「投下
",79.0
"5個不同意！林昶佐轟：發動公投、罷免搞
",86.0
"100梯研替老鼠屎
",76.0
"反萊豬公投很危險！陳吉仲:大家幫忙不同意
",78.0
"「世上只有台灣能清零Delta」　這措施明上路！
",80.0
"醫怒轟擁核、國民黨鬼扯：別再唬爛缺電
",73.0
"醫師林應然：氣管擴張劑用「瘦肉精」
",77.0
"白宮官員驚慌失措　唐鳳視訊畫面在民主峰
",73.0
"戰公投!細數國民黨拖垮台灣罪狀蔡英文怒
",86.0
"徐國勇：國民黨為奪政權 要讓國內陷缺電
",87.0
"銀行來電問「工作現況」　陳柏惟：知道
",84.0
"洪秀柱：民進黨愛台灣就像林秉樞愛高嘉
",76.0
"蔡總統推出台灣隊長真心話影片 催公投四
",79.0
"網酸蔡英文2012年影片　律師：我是老闆也
",82.0
"蔡英文：美豬公投這關若沒過 台灣經濟將回到過去
",83.0
"避免受騙看這裡！9大公投奧步曝光 民進
",75.0
"公投若過 蔡：重回鎖在中國的困境
",83.0
"華碩主管面試「羞辱台大男」開價200萬
",95.0
"這禮拜小心防疫！唐綺陽警告「一旦有破口
",80.0
"黃士修喊絕食抗議！呱吉諷：耍嘴皮來討生
",80.0
"在日僑團發聲明籲全民對4大公投「不同意」
",82.0
"蔡英文： 4個不同意 挺住台灣防線
",74.0
"醫師林應然：氣管擴張劑用「瘦肉精」
",68.0
"蘇貞昌：政府沒錢養網軍　「政策宣導和網
",85.0
"變電所爆炸起火致雙北停電 國民黨硬扯：
",76.0
"會說不用投票就可以查核四的都是什麼人
",70.0
"決戰公投！陳柏惟喊「為我報仇」：4個不
",69.0
"蔡桃貴路上「突被警察搭話」傻了！　一
",88.0
"護藻礁的言論真的看不下去
",73.0
"搶不到座位 他怒噴：高鐵圖利高雄人
",79.0
"還記得跟水電工阿賢合拍的「宣宣」嗎！
",88.0
"黃士修爆民進黨曾邀他入閣　丁怡銘高級酸
",71.0
"取消 只發錢
",70.0
"沒事 是我搞錯了 XDDD
",77.0
"幹你娘晚上八點多是在吹你媽的頭髮
",81.0
"謝金河：若否決美豬　金融、股市恐增加
",74.0
"陳其邁再露美腿划SUP 上岸直呼「2隻腳都
",77.0
"男2個月2度酒駕被抓 法官：坐牢太嚴苛、
",72.0
"為什麼可以吃萊牛，不能吃萊豬?
",69.0
"林佳龍：盧秀燕與顏家阻止燃氣發電 害中
",74.0
"尼加拉瓜斷交 林昶佐嗆爆中國：幼稚
",73.0
"聽完辯論會 我決定支持反核了
",84.0
"哇靠 西門也太多熱褲妹了吧
",79.0
"高鐵自由座根本圖利高雄人
",82.0
"蔡阿嘎仿「澤甯宣言」宣布大事　揪妻曬「
",89.0
"蔡英文5年斷交8國！台灣友邦僅剩14國
",71.0
"印度神童又說中！12月關鍵第2周 6大事台灣
",69.0
"民進黨青年座談會 林飛帆：若4議題都過
",85.0
"內政部重手打炒房 賴正鎰：還讓不讓人活
",76.0
"贊同開放萊豬！肉商：進來會自動淘汰
",73.0
"柯文哲跟綠網軍合作
",78.0
"台灣被斷交！蔡英文無畏「外交施壓」：和
",72.0
"紓困5.0預算 民進黨：為台灣人民經濟生活
",74.0
"唐鳳出席美民主峰會　肯定「318學運」奠
",76.0
"影／拚公投反罷免！林昶佐批：政治操作虛
",74.0
"台尼斷交 林飛帆籲用公投選票捍衛台灣
",79.0
"競選新北市長時曾雇用網軍？蘇貞昌駁：
",68.0
"蔡赴宜蘭喊話：別教訓我們最愛的台灣
",82.0
"尼加拉瓜與我斷交 林飛帆:公投與外交相關
",71.0
"財經網美：台灣斷交 美國氣到跳起來
",76.0
"中國幫世界基建 美國餵台灣萊豬
",79.0
"中研院人員確診!蘇貞昌:沒有研究員願意
",75.0
"蔡英文：發展綠能維持半導體全球領先
",86.0
"獨／黃士修握府院機密 將發動絕食
",69.0
"總統：公投4個不同意 台灣才有保護力
",81.0
"民進黨：四大公投沒樂觀本錢 催票防奧步
",75.0
"民進黨回擊馬英九投書批民主　「正好證明
",76.0
"北車湧「打疫苗」排隊人潮 毒理教授批：
",82.0
"續任行政院長到2022年底　蘇貞昌：我的去
",85.0
"開戰！柯文哲發言人嗆盾牌牙醫：含沙射影
",81.0
"大啖美牛漢堡 蔡英文：進口9年沒健康問題
",82.0
"開戰！柯文哲發言人嗆盾牌牙醫：含沙射影
",71.0
"政府養網軍？蘇貞昌：政府沒錢、也不必養
",80.0
"花蓮七星潭驚見遍地狗屍 14隻浪浪一夕慘
",72.0
"「藍營逐漸棄守四項公投」　綠營分析：
",87.0
"蔡總統：持續發展光電及風電 並建構更具
",82.0
"薛瑞福：萊豬開放若被逆轉 將讓台灣更孤
",82.0
"綠營總動員衝公投 林飛帆：請大家捍衛執
",78.0
